client_id,site_id,client_name,website,website_confidence,primary_carwash_type,classify_confidence,secondary_types,reasoning,is_express
1002945eco,1,Show Place,http://showplaceautoboutique.com/,90,Unknown,0.0,,"The scraped website content does not contain sufficient information, text, or markers to classify the car wash type. There is no description of services, keywords, or other details to infer the type of car wash facility.",Unknown
1003339carnutz,1,Scrub Hub,http://scrubhubcarwash.com/,90,Unknown,0.1,,"The website's content could not be scraped due to the 'Too Many Requests' error, and no relevant text or markers indicating a specific car wash type are available for analysis. Without data, classification is not possible.",Unknown
1003485russell,1,Russell Speeders 2,https://russellspeeders.com/locations/stamford,90,Unknown,0.1,,"The scraped website text does not contain sufficient information to classify the car wash type. It primarily includes placeholders such as a CAPTCHA challenge screen, title, and URL information but lacks specific details about the services, features, or offerings related to a car wash. As such, classification cannot be confidently determined.",Express
1003010quickandclean,1,Quick And Clean Car Wash - Santa Maria,,0,Unknown,0.0,,no confident website found,Unknown
1003079firehouse,1,Firehouse Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
1003625superspray,1,Super Spray,https://superspray2.com/car-wash.html,90,Unknown,0.0,,"The scraped website content does not contain any relevant information about car wash services. The page returns a 404 error (Page Not Found), and the text mentions unrelated topics like online gambling and a WordPress theme. No markers or keywords indicative of any type of car wash could be identified.",Unknown
105066ultimate,1,Ultimate Car Wash,www.ultimateexpresswash.com,95,Unknown,0.1,,"The scraped website text shows that the URL returned a 503 Service Temporarily Unavailable error, and no specific information about the car wash type, services, or features was provided. Without any relevant markers or content to analyze, I cannot classify the car wash type accurately.",Unknown
1003569honda,1,Louisville Honda World,,0,Unknown,0.0,,no confident website found,Unknown
104442autobath,1,Staten Island Auto Bath Inc,,0,Unknown,0.0,,no confident website found,Unknown
104446sparta,1,Sparta Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
118135glenville,1,Raindancer Of Glenville,http://www.rcarwash.com/,90,Unknown,0.2,,"The scraped text from the homepage of a car wash named 'Raindancer Car Wash' does not contain sufficient specific information to classify the car wash type. The provided text includes basic contact information (address, phone, and hours of operation) but lacks meaningful hints such as conveyor systems, automatic wash bays, hand wash services, detailing, touchless technology, or other relevant markers required for classification. Thus, it is not possible to confidently categorize the car wash with the data provided.",Unknown
123013arlington,1,North Arlington Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
12763superior,1,Superior Fry Car Wash,,0,Unknown,0.0,,no confident website found,Unknown
16135bigsteve,1,Big Steve's Car Wash,https://classiccarwashandoilchange.com/,90,Unknown,0.2,,"The website primarily advertises oil change and general automotive repair services. While it mentions a 'free car wash' with every oil change, there is no specific information about the type of car wash provided (e.g., Express Tunnel, Full Service, etc.). Additionally, there is no evidence of self-serve bays, in-bay automatic systems, or touchless washes. The presence of broader repair and fleet services further obscures the car wash classification. Thus, the exact type of car wash offered cannot be reliably determined from the provided text.",Unknown
162721superior,1,R&R Superior Bellfort Carwash,,0,Unknown,0.0,,no confident website found,Unknown
167300jcauto,1,Jc Auto Wash,,0,Unknown,0.0,,no confident website found,Unknown
17340cougar,1,Cougar Ridge,,0,Unknown,0.0,,no confident website found,Unknown
185441sparkle,1,Sparkle Auto Wash,www.sparklemyride.com,95,Unknown,0.1,,"The analyzed scraped text mainly includes placeholders and general website elements (e.g., launching notice, contact form, cookie policy, copyright notice), but does not contain any mention of car wash service details or keywords associated with specific car wash types (e.g., 'interior cleaning', 'self-serve', 'conveyor', 'automatic wash', etc.). Due to the lack of specific information, it is not possible to classify this car wash under any category. The confidence score is kept low (0.1) considering the absence of relevant markers.",Unknown
172509mermaid,1,Superior Mermaid Carwash,,0,Unknown,0.0,,no confident website found,Unknown
190490pauls,1,Paul's Hingham Car Wash,https://hinghamharborauto.com/,90,Unknown,0.2,,"The text primarily describes an auto repair business that also offers car washes. However, it does not provide sufficient details about the type of car wash service provided (e.g., Express Tunnel, Full Service, In-Bay Automatic, etc.). There is no mention of specific features like stay-in-vehicle services, interior vacuuming, hand drying, manual spray wands, or touchless options. Due to the lack of details on the car wash method, the classification is 'Unknown'.",Unknown
