client_id,site_id,client_name,website,website_confidence,primary_carwash_type,classify_confidence,secondary_types,reasoning
000004_cliff,4,Cliff's Car Wash,www.cliffscarwashes.com,95,Flex,0.95,Express Tunnel;Self-Serve,"The website mentions both 'automatic wash tunnels' and 'self-serve bays,' suggesting that the business offers multiple service types. 'Automatic wash tunnels' aligns with Express Tunnel characteristics, while 'self-serve bays' aligns with Self-Serve. Given the diversity of services and the implied flexibility ('exactly what your vehicle needs'), this car wash most closely fits the Flex model—a combination of express exterior services with full-service or self-serve options for added flexibility."
000004_cliff,3,Cliff's Car Wash,www.cliffscarwashes.com,95,Flex,0.9,Express Tunnel;Self-Serve;In-Bay Automatic,"The website mentions 'self-serve bays' and 'premier automatic wash tunnels,' suggesting a variety of services offered. The mention of flexibility between these options hints at a Flex car wash model, where customers can choose between express tunnel services and self-service options. Detailing is also highlighted in the title, which supports the existence of premium services but doesn't override the primary classification as Flex. Confidence is slightly reduced from perfect as further details on specific service flow were not present."
000004_cliff,1,Cliff's Car Wash,www.cliffscarwashes.com,95,Flex,0.95,Express Tunnel;Self-Serve;In-Bay Automatic,"The scraped text provides key evidence for multiple service types offered by Cliff's Car Wash. The mention of 'self-serve bays' clearly indicates the availability of self-serve services, which are associated with manual washing. The reference to 'premier automatic wash tunnels' points to an express tunnel or automatic wash service. However, no indication or detailed mention was found to suggest full-service cleaning or touchless washes. Furthermore, the text highlights that they cater to different needs, which aligns with a Flex model that integrates express exterior services and self-serve or automatic options. This combination of offerings solidifies 'Flex' as the primary classification while including other detected types as secondary."
1002945eco,1,Show Place,http://showplaceautoboutique.com/,90,Unknown,0.0,,"The scraped website content does not contain sufficient information, text, or markers to classify the car wash type. There is no description of services, keywords, or other details to infer the type of car wash facility."
000003_hurricane,2,Hurricane Bay Express,,0,Express Tunnel,0.5,,name-heuristic: 'express' in client_name (was Unknown)
000003_hurricane,1,Hurricane Bay Express,,0,Express Tunnel,0.5,,name-heuristic: 'express' in client_name (was Unknown)
000003_hurricane,3,Hurricane Bay Express,,0,Express Tunnel,0.5,,name-heuristic: 'express' in client_name (was Unknown)
1003358vexpress,1,V Express Car Wash,http://v-express-car-wash.jany.io/,90,Hand Wash / Detail,0.95,,"The content explicitly highlights services such as meticulous detailing, comprehensive interior and thorough exterior washes, all performed by experienced professionals. Additionally, the use of terms like 'enhancing aesthetics and longevity' and 'unparalleled service quality' supports a high-touch, detail-oriented approach. There is no mention of express tunnels, automatic systems, self-serve options, or touchless systems—focusing instead on manual care and detailing services, which is consistent with a Hand Wash / Detail classification."
1003339carnutz,1,Scrub Hub,http://scrubhubcarwash.com/,90,Unknown,0.1,,"The website's content could not be scraped due to the 'Too Many Requests' error, and no relevant text or markers indicating a specific car wash type are available for analysis. Without data, classification is not possible."
1003079firehouse,2,Firehouse Car Wash,https://cobblestone.com/location/car-wash-in-fort-collins-college-avenue-willox-lane/,90,Express Tunnel,0.95,,"The website explicitly references 'Express Exterior' as the primary offering for this location. Additional markers supporting the classification include unlimited wash plan offers, on-site express services, and descriptions of staying in the vehicle during the wash process. No mention of interior cleaning or other secondary service offerings like vacuuming, detailing, or hand drying suggests this is not Full Service, Hand Wash/Detail, or Flex. The absence of coin-operated bays or touchless washing capabilities further validates this is an Express Tunnel facility. High confidence is attributed based on directly stated information and consistent markers."
